"Depth" "AirTemp" "WaterTemp"
"4796" 1 9.7565 13.48819
"4797" 2.5 9.7565 13.45164
"4798" 5 9.7565 13.37493
"4799" 7.5 9.7565 13.18093
"4829" 0 3.935 9.640043
"4830" 1 3.935 9.678526
"4831" 2.5 3.935 9.74117
"4832" 5 3.935 9.833744
"4833" 7.5 3.935 9.936018
"4863" 0 0.8484 5.961097
"4864" 1 0.8484 5.959852
"4865" 2.5 0.8484 5.961471
"4866" 5 0.8484 5.95715
"4867" 7.5 0.8484 5.958358
"4897" 0 0.1629 4.69544
"4898" 1 0.1629 4.693731
"4899" 2.5 0.1629 4.691304
"4900" 5 0.1629 4.686474
"4901" 7.5 0.1629 4.68389
"4931" 0 4.1125 4.185674
"4932" 1 4.1125 4.193317
"4933" 2.5 4.1125 4.204779
"4934" 5 4.1125 4.226765
"4935" 7.5 4.1125 4.235446
"4965" 0 1.4484 3.516513
"4966" 1 1.4484 3.580459
"4967" 2.5 1.4484 3.676378
"4968" 5 1.4484 3.82264
"4969" 7.5 1.4484 3.866057
"4999" 0 6.3233 5.767157
"5000" 1 6.3233 5.633565
"5001" 2.5 6.3233 5.433178
"5002" 5 6.3233 5.141585
"5003" 7.5 6.3233 5.049496
"5033" 0 15.35 12.1386
"5034" 1 15.35 11.85667
"5035" 2.5 15.35 11.43378
"5036" 5 15.35 10.1308
"5037" 7.5 15.35 8.494821
"5067" 0 15.85 17.23518
"5068" 1 15.85 16.95497
"5069" 2.5 15.85 16.53465
"5070" 5 15.85 15.01032
"5071" 7.5 15.85 13.6551
"5101" 0 18.879 20.45388
"5102" 1 18.879 20.11151
"5103" 2.5 18.879 19.59796
"5104" 5 18.879 18.20007
"5105" 7.5 18.879 15.81427
"5135" 0 18.9823 22.5194
"5136" 1 18.9823 22.5226
"5137" 2.5 18.9823 22.5274
"5138" 5 18.9823 21.49761
"5139" 7.5 18.9823 16.33184
"5169" 0 16.7283 20.65022
"5170" 1 16.7283 20.68051
"5171" 2.5 16.7283 20.72593
"5172" 5 16.7283 20.61589
"5173" 7.5 16.7283 19.39874
"5203" 0 8.9 14.18446
"5204" 1 8.9 14.1869
"5205" 2.5 8.9 14.19055
"5206" 5 8.9 14.21168
"5207" 7.5 8.9 14.22262
"5237" 0 3.815 9.636292
"5238" 1 3.815 9.636502
"5239" 2.5 3.815 9.636632
"5240" 5 3.815 9.64546
"5241" 7.5 3.815 9.706064
"5271" 0 2.621 6.722083
"5272" 1 2.621 6.722967
"5273" 2.5 2.621 6.72304
"5274" 5 2.621 6.775
"5275" 7.5 2.621 6.862181
"5305" 0 0.4242 4.811297
"5306" 1 0.4242 4.811382
"5307" 2.5 0.4242 4.811274
"5308" 5 0.4242 4.820769
"5309" 7.5 0.4242 4.833391
"5339" 0 2.5018 4.328868
"5340" 1 2.5018 4.320231
"5341" 2.5 2.5018 4.311274
"5342" 5 2.5018 4.200209
"5343" 7.5 2.5018 4.132017
"5373" 0 8.1758 5.568297
"5374" 1 8.1758 5.512686
"5375" 2.5 8.1758 5.432242
"5376" 5 8.1758 5.384431
