"AT" "WT00" "WT10" "WT25" "WT50" "WT75"
1.6887 5.243053 5.232261 5.24894 5.227809 5.215372
1.6276 4.461441 4.349592 4.42871 4.367522 4.426029
4.2113 5.238028 5.378662 5.382489 5.240391 4.667875
8.41 10.52771 9.599852 9.304665 8.690515 7.706261
13.8065 14.26301 12.66966 12.29959 11.9488 9.933267
18.3217 20.66376 20.48558 20.38568 20.06793 13.19664
19.6629 24.97529 24.08984 23.75303 23.339 18.47998
16.179 19.25933 19.148 19.15285 18.96601 18.58381
13.22 18.06172 17.90157 17.97455 17.82731 17.70368
11.0839 14.76705 14.82107 14.81509 14.8305 14.77283
4.695 10.34607 10.41528 10.41908 10.38404 10.38956
-1.3274 6.489322 6.483968 6.480673 6.370206 6.367934
1.0694 4.58615 4.603321 4.621112 4.580959 4.591562
5.0732 4.710547 4.673952 4.632938 4.562128 4.535752
7.9306 6.120251 6.089089 6.05789 5.780673 5.707433
6.7083 8.840596 8.540928 7.668565 7.184678 7.168035
12.1597 13.47031 12.86952 11.53948 11.15732 10.89615
16.0017 17.68501 17.70431 17.73007 17.14969 15.81213
17.5145 21.33037 21.35672 21.16445 19.71771 17.24361
16.3903 21.757 21.62415 21.53697 21.11469 19.41618
13.1333 19.55042 19.12475 18.67524 18.27162 17.7637
11.2919 14.27318 14.09362 14.16213 14.15421 14.03411
5.7267 11.79053 11.63904 11.63476 11.5803 11.58139
1.9532 7.132285 7.1388 7.13704 6.948547 6.952218
0.3548 5.792451 5.817589 5.836272 5.74759 5.736208
0.0429 4.579265 4.656701 4.76046 4.802248 4.848692
5.3435 5.796435 5.783488 5.548041 5.258232 4.90793
7.6017 8.459205 8.49189 7.945562 7.780716 7.37984
11.2371 13.63946 13.3896 12.86882 11.59486 11.03027
14.755 19.70853 19.29226 18.41454 15.64414 13.32666
16.6565 19.86707 19.93843 19.53937 18.43829 15.65023
15.9952 21.78883 21.55819 21.53694 19.94141 17.80939
13.86 16.68836 16.4227 16.34616 16.50622 16.65207
8.7952 13.27053 13.31854 13.33156 13.35191 13.32688
3.6517 9.884059 9.848304 9.84753 9.847172 9.92822
1.8806 6.30947 6.226021 6.223732 6.236989 6.224553
-2.5645 4.88747 4.722609 4.730495 4.683622 4.682686
2.3268 4.733186 4.495216 4.476765 4.297866 4.301788
5.65 4.7823 4.674769 4.563488 4.474766 4.442875
6.8217 7.231917 6.760902 5.985115 5.71251 5.87226
12.771 14.32619 14.00888 12.74235 10.17959 9.10197
16.6717 18.83654 18.77187 18.46966 15.54602 13.7926
17.5113 18.92846 18.99428 18.87488 19.11082 17.37727
16.1887 23.68083 23.4582 23.23352 22.60519 18.75862
14.4317 20.3805 19.8263 19.67084 19.50144 18.81364
10.2935 13.77131 13.81883 13.81063 13.59939 13.4368
3.9717 9.798166 9.720137 9.610005 9.247306 9.108563
3.8919 7.37825 7.228089 7.162078 7.222231 7.234967
-0.9903 5.222748 5.22739 5.22995 5.194012 5.203335
3.9655 4.534911 4.530714 4.524829 4.455914 4.398172
5.3194 4.367699 4.377998 4.405337 4.397225 4.438112
6.2567 6.378372 6.350139 6.266932 6.111099 5.741164
11.1452 11.63271 11.55424 11.3 10.75224 9.490864
14.6167 13.72316 13.77594 13.75415 13.32438 13.55354
15.5323 16.571 16.44306 16.37937 16.18656 14.80386
18.2952 20.67956 20.40499 20.26752 19.65907 16.75774
15.695 18.25025 18.29821 18.32217 18.18488 17.88334
8.8355 14.6157 14.61133 14.60941 14.6163 13.34812
3.2033 8.329834 8.331783 8.33154 8.292235 8.419157
-0.1613 6.067816 6.066897 6.073332 5.970534 5.917469
-2.0806 4.741585 4.741733 4.725806 4.62556 4.617836
-0.6571 3.385736 3.385499 3.438146 3.590615 3.648856
7.8065 6.442617 6.422158 5.6475 4.582451 4.128135
9.8733 13.32586 12.93765 11.01051 8.500259 7.191497
12.5161 14.84493 13.92707 13.05852 12.57313 10.9783
15.75 20.96125 20.37949 19.92965 18.31141 15.52494
16.5306 22.42259 21.64529 20.98329 18.71117 17.35908
17.9032 22.69261 22.26973 21.20329 19.0394 17.2471
14.505 18.87787 18.80894 18.83902 18.7107 18.24094
9.5484 14.38637 14.38777 14.37208 14.2816 13.51572
